badges,hasVideo,imageUrl,isAd,isCertified,isVerified,moq,price,productUrl,rating,reviews,sellingPoint,sold,supplier,supplierCountry,supplierYears,title
"","false","https://s.alicdn.com/@sc04/kf/A271248b36ece44c680e6fc8c0b5b8d5fQ.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 224,984.28-237,047.78","https://www.alibaba.com/product-detail/2025-Byd-Song-Plus-Ev-520KM_10000025869912.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","2","5% off GHS 22,500","0","Zhengzhou Talenet Tech Co., Ltd.","CN","4 yrs","2025 Byd Song Plus Ev 520KM 5 Seats Smart Driving Edition Electric Cars Made in China Suv Byd Electric Car"
"","false","https://s.alicdn.com/@sc04/kf/Hec438c48f8af4915b172a8f0ae9b5995A.png_300x300.png","false","true","true","Min. order: 1 piece","GHS 13,860.97-15,212.08","https://www.alibaba.com/product-detail/Happy-Car-Amusement-Ride-Electric-360_1601909447716.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.8","20","Reorder rate 18%","0","Guangzhou Xiaotongyao Amusement Equipment Co., Ltd","CN","10 yrs","Happy Car Amusement Ride Electric 360 Rolling Car For Kids Outdoor Playground And Park"
"","false","https://s.alicdn.com/@sc04/kf/Hd63b1b6eea0e40239d3257df225d444aQ.png_300x300.png","false","false","true","Min. order: 1 unit","GHS 76,470.53-78,883.23","https://www.alibaba.com/product-detail/Car-New-2024-Hot-Sale-BYD_1601116530463.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","5","5% off GHS 22,500","0","Chongqing Broker Technology Co., Ltd.","CN","3 yrs","Car New 2024 Hot Sale BYD Dolphin New Energy Vehicle 2023 Electric Sedan 420km Fashion Version Auto Cheap BYD Used Electric Cars"
"","false","https://s.alicdn.com/@sc04/kf/HLB1krIrSCzqK1RjSZFjq6zlCFXaf.jpg_300x300.jpg","false","false","true","Min. order: 1 set","GHS 108,571.50-114,603.25","https://www.alibaba.com/product-detail/2-3-3-5-5-7_60540627665.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","5","","0","Evangel Industrial (Shanghai) Co., Ltd.","CN","13 yrs","2/3/3.5/5/7/8/10/16/20 Ton Brand New Diesel Electric Forklift Truck Price"
"","false","https://s.alicdn.com/@sc04/kf/H1f25430b6d204638bce46c5edf15727el.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 138,730.25-150,793.75","https://www.alibaba.com/product-detail/2025-New-Electric-Car-BYD-Yuan_1601619775495.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","6","","0","Shandong Chengda Auto Sales Co., Ltd.","CN","6 yrs","2025 New Electric Car BYD Yuan up Small Suv 401KM Pure Electric Vehicle Left Hand Car Byd YUAN up"
"","false","https://s.alicdn.com/@sc04/kf/H1f5faa1f2bab4b41b67d9b050163d712m.jpg_300x300.jpg","false","false","false","Min. order: 1 piece","GHS 20,725.10-22,534.62","https://www.alibaba.com/product-detail/4-Wheel-Enclosed-Electric-Car-Wheelchair_1601942279246.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.9","3","5% off GHS 22,500","0","Shangdong Gery Automotive Tech Co.,ltd","CN","3 yrs","4-Wheel Enclosed Electric Car, Wheelchair Roll-in Access, Handlebar Steering, 3-Doors 45km/h For Elderly & Disabled"
"","false","https://s.alicdn.com/@sc04/kf/H5b3df2ad3a9549d08075392764687be2D.jpg_300x300.jpg","false","false","true","Min. order: 1 set","GHS 118,451.51-139,321.37","https://www.alibaba.com/product-detail/Wholesale-2025-BYD-E2-Electric-EV_1601395298064.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","1","","0","Wuhan Baoshi Auto Sales Service Co., Ltd.","CN","2 yrs","Wholesale 2025 BYD E2 Electric EV Car High Speed 405km Pure New Energy Vehicle Factory Cheap Price SUV/Sedan"
"","false","https://s.alicdn.com/@sc04/kf/H2702b5a96d364b69b23c85b9e47983deO.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 96,508-108,571.50","https://www.alibaba.com/product-detail/HELI-Factory-Price-6ton-7-Ton_1600468378081.html?priceId=47ea8832043247f58f705cf6ab2b0166","5.0","18","Reorder rate 71%","0","Newindu Construction Engineering (Shanghai) Co., Ltd.","CN","10 yrs","HELI Factory Price 6ton 7 Ton Electric Forklift Truck CPD70-GB2DLI CPD70-GB2D"
"","false","https://s.alicdn.com/@sc04/kf/H86b0b15a68694859b7a5f512644e360dI.jpg_300x300.jpg","false","false","true","Min. order: 1 unit","GHS 81,694.03-90,765.78","https://www.alibaba.com/product-detail/BYD-Seagull-Zero-Emission-Electric-Car_1601905513037.html?priceId=47ea8832043247f58f705cf6ab2b0166","4.9","7","","0","Nanchang Jushenghang Automobile Sales Co., Ltd.","CN","2 yrs","BYD Seagull Zero-Emission Electric Car 4-Seater Sedan LHD with 301-400km Range and 50-100KW Power"
"","false","https://s.alicdn.com/@sc04/kf/He624413cd3be43b0b1f951ecb023bab7J.png_300x300.png","false","false","false","Min. order: 5 pieces","GHS 466.26-474.34","https://www.alibaba.com/product-detail/Kids-Electric-Ride-On-Car-6V_1601910708585.html?priceId=47ea8832043247f58f705cf6ab2b0166","N/A","0","5% off GHS 22,500","0","Hebei Xingjiu Vehicle Industry Sci-Tech Co., Ltd.","CN","1 yr","Kids Electric Ride On Car 6V Battery Powered Racing Toy Car Remote Control Children Electric Sports Car For 3-8 Years Old"
